Countries,Year,ACO2E,C02IACP,CBT,CC,CO2EFC,COBT,COP,CP,EBT,EC,EP,GBT,GC,GP,OBT,OC,OP,SETE,SREEP,SWSEP,TEBT,TEC,TEIGDP,TEP,Orgs
Africa,1990,1.37,221,-45.5,146.0,520,-202.0,320,182.0,-2.0,260,317,-31.6,33,67.0,-20.7,77,103,8.1,8.1,0.1,-284,380,161,673,Other
Africa,1991,1.35,218,-43.0,144.0,527,-215.5,334,186.0,-2.0,266,325,-35.1,36,73.0,-21.1,79,104,8.2,8.2,0.1,-299,391,162,700,Other
Africa,1992,1.36,221,-47.7,142.0,538,-217.2,338,183.0,1.0,272,327,-36.7,38,76.0,-20.9,82,104,7.8,7.8,0.1,-305,396,163,709,Other
Africa,1993,1.34,226,-47.3,146.0,547,-216.2,337,196.0,-3.0,281,339,-36.1,41,79.0,-21.1,80,105,8.0,8.0,0.1,-303,407,168,720,Other
Africa,1994,1.31,220,-50.2,147.0,544,-217.2,339,203.0,-1.0,291,351,-31.9,41,75.0,-21.5,78,103,8.1,8.1,0.1,-303,416,168,731,Other
Africa,1995,1.32,228,-55.0,156.0,574,-220.6,347,213.0,0.0,303,363,-37.3,44,82.0,-22.0,82,106,8.1,8.1,0.1,-314,434,172,758,Other
Africa,1996,1.34,226,-54.3,162.0,598,-233.4,366,213.0,17.0,337,384,-41.2,45,87.0,-22.0,86,111,8.7,8.7,0.1,-329,447,169,787,Other
Africa,1997,1.37,229,-58.3,168.0,628,-240.7,381,226.0,18.0,351,401,-49.5,47,98.0,-27.9,89,119,8.8,8.8,0.1,-351,459,168,825,Other
Africa,1998,1.37,228,-54.2,171.0,647,-242.4,381,229.0,14.0,353,407,-53.4,49,103.0,-14.4,91,109,8.7,8.7,0.1,-341,471,166,837,Other
Africa,1999,1.35,223,-59.6,164.0,652,-237.1,374,230.0,13.0,361,420,-61.5,55,116.0,-17.6,95,116,8.6,8.6,0.1,-348,484,166,847,Other
Africa,2000,1.36,219,-62.1,170.0,667,-256.4,386,231.0,13.0,377,443,-67.6,57,124.0,-13.8,95,112,8.9,8.9,0.2,-370,489,161,868,Other
Africa,2001,1.45,230,-60.2,170.0,724,-248.1,387,230.0,3.0,381,460,-65.6,63,128.0,-21.2,97,126,8.9,8.9,0.2,-367,501,159,881,Other
Africa,2002,1.49,229,-59.4,175.0,756,-248.1,385,226.0,2.0,408,489,-65.9,67,133.0,-21.5,101,128,9.2,9.2,0.2,-367,508,154,887,Other
Africa,2003,1.48,228,-62.2,184.0,788,-281.6,417,244.0,1.0,423,510,-71.7,74,146.0,-10.7,102,121,9.3,9.3,0.2,-397,534,154,947,Other
Africa,2004,1.49,229,-58.5,194.0,836,-322.1,457,248.0,2.0,444,542,-77.8,78,156.0,-5.8,110,120,9.4,9.4,0.3,-436,562,154,1009,Other
Africa,2005,1.49,223,-61.6,192.0,863,-336.7,477,251.0,2.0,469,562,-98.1,90,187.0,-7.5,115,130,9.6,9.6,0.3,-471,580,150,1064,Other
Africa,2006,1.48,215,-58.6,194.0,880,-353.7,490,250.0,4.0,491,587,-102.8,95,196.0,1.8,117,120,9.8,9.8,0.3,-481,596,146,1090,Other
Africa,2007,1.49,213,-56.6,200.0,923,-367.0,502,253.0,4.0,516,613,-109.3,103,210.0,8.0,123,121,9.9,9.9,0.4,-492,619,143,1121,Other
Africa,2008,1.52,215,-47.4,214.0,979,-362.3,503,256.0,5.0,518,622,-113.3,104,215.0,16.6,132,124,9.6,9.6,0.4,-477,645,141,1137,Other
Africa,2009,1.47,207,-43.0,198.0,970,-347.5,486,254.0,5.0,517,627,-100.3,103,202.0,26.7,139,118,9.3,9.3,0.5,-438,660,141,1113,Other
